2018-11-20 03:49:42,008 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:08 tract:002802'}, will retry shortly
2018-11-20 03:51:45,079 - WARNING - received error fetching 2010 sf1 data {'in': 'county:059 state:08 tract:012022', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:53:21,715 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:404202', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:53:28,247 - WARNING - received error fetching 2010 sf1 data {'in': 'county:007 state:09 tract:541600', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:53:35,360 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:009 state:09 tract:125100'}, will retry shortly
2018-11-20 03:54:52,250 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:001 state:09 tract:072800'}, will retry shortly
2018-11-20 03:54:56,171 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:09 tract:494600'}, will retry shortly
2018-11-20 03:55:37,434 - WARNING - received error fetching 2010 sf1 data {'in': 'county:001 state:11 tract:001803', 'for': 'block group:*'}, will retry shortly
2018-11-20 03:58:45,982 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:09 tract:497600'}, will retry shortly
2018-11-20 03:59:18,450 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:430701', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:00:34,935 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:009 state:12 tract:071400'}, will retry shortly
2018-11-20 04:00:56,557 - WARNING - received error fetching 2010 sf1 data {'in': 'county:027 state:12 tract:010404', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:02:42,583 - WARNING - received error fetching 2010 sf1 data {'in': 'county:001 state:11 tract:004902', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:02:52,967 - WARNING - received error fetching 2010 sf1 data {'in': 'county:031 state:12 tract:002502', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:02:52,967 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:09 tract:502300'}, will retry shortly
2018-11-20 04:03:38,219 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:001 state:09 tract:211000'}, will retry shortly
2018-11-20 04:03:50,095 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:009 state:12 tract:071600'}, will retry shortly
2018-11-20 04:06:14,285 - WARNING - received error fetching 2010 sf1 data {'in': 'county:035 state:12 tract:060208', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:06:41,530 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:001 state:09 tract:211000'}, will retry shortly
2018-11-20 04:06:41,530 - WARNING - received error fetching 2010 sf1 data {'in': 'county:031 state:12 tract:002901', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:06:57,401 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:09 tract:503300'}, will retry shortly
2018-11-20 04:09:23,094 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:045 state:12 tract:960300'}, will retry shortly
2018-11-20 04:09:56,893 - WARNING - received error fetching 2010 sf1 data {'in': 'county:011 state:12 tract:060121', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:10:07,985 - WARNING - received error fetching 2010 sf1 data {'in': 'county:031 state:12 tract:010102', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:10:54,974 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:033 state:12 tract:003700'}, will retry shortly
2018-11-20 04:11:25,617 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:463500', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:12:17,864 - WARNING - received error fetching 2010 sf1 data {'in': 'county:053 state:12 tract:040910', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:13:15,696 - WARNING - received error fetching 2010 sf1 data {'in': 'county:011 state:12 tract:060123', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:13:20,591 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:055 state:12 tract:961602'}, will retry shortly
2018-11-20 04:13:44,857 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:09 tract:515102'}, will retry shortly
2018-11-20 04:15:31,981 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:057 state:12 tract:002000'}, will retry shortly
2018-11-20 04:16:13,957 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:480303', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:16:35,192 - WARNING - received error fetching 2010 sf1 data {'in': 'county:061 state:12 tract:050804', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:18:40,113 - WARNING - received error fetching 2010 sf1 data {'in': 'county:011 state:12 tract:060605', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:20:26,401 - WARNING - received error fetching 2010 sf1 data {'in': 'county:071 state:12 tract:040110', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:20:37,225 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:500100', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:21:27,883 - WARNING - received error fetching 2010 sf1 data {'in': 'county:085 state:12 tract:001500', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:22:24,132 - WARNING - received error fetching 2010 sf1 data {'in': 'county:081 state:12 tract:002013', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:22:44,202 - WARNING - received error fetching 2010 sf1 data {'in': 'county:089 state:12 tract:050302', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:24:31,300 - WARNING - received error fetching 2010 sf1 data {'in': 'county:085 state:12 tract:001801', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:24:48,623 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:06 tract:531201', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:25:05,609 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:095 state:12 tract:016717'}, will retry shortly
2018-11-20 04:27:27,035 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:105 state:12 tract:012126'}, will retry shortly
2018-11-20 04:28:10,095 - WARNING - received error fetching 2010 sf1 data {'in': 'county:109 state:12 tract:021204', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:28:13,625 - WARNING - received error fetching 2010 sf1 data {'in': 'county:113 state:12 tract:010200', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:29:47,834 - WARNING - received error fetching 2010 sf1 data {'in': 'county:086 state:12 tract:012100', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:30:07,996 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:117 state:12 tract:020810'}, will retry shortly
2018-11-20 04:33:42,191 - WARNING - received error fetching 2010 sf1 data {'in': 'county:037 state:13 tract:950100', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:33:42,193 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:127 state:12 tract:091029'}, will retry shortly
2018-11-20 04:34:01,693 - WARNING - received error fetching 2010 sf1 data {'in': 'county:086 state:12 tract:018200', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:38:07,051 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:145 state:13 tract:120198'}, will retry shortly
2018-11-20 04:44:50,385 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:083 state:16 tract:001200'}, will retry shortly
2018-11-20 04:45:09,388 - WARNING - received error fetching 2010 sf1 data {'in': 'county:021 state:17 tract:958100', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:47:35,341 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:120300'}, will retry shortly
2018-11-20 04:47:52,781 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:083 state:16 tract:001400'}, will retry shortly
2018-11-20 04:51:06,557 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:160700'}, will retry shortly
2018-11-20 04:51:13,286 - WARNING - received error fetching 2010 sf1 data {'in': 'county:161 state:17 tract:021800', 'for': 'block group:*'}, will retry shortly
2018-11-20 04:52:43,282 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:18 tract:002000'}, will retry shortly
2018-11-20 04:54:28,625 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:039 state:18 tract:002200'}, will retry shortly
2018-11-20 04:56:08,782 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:260900'}, will retry shortly
2018-11-20 04:56:22,818 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:097 state:18 tract:310305'}, will retry shortly
2018-11-20 04:56:25,534 - WARNING - received error fetching 2010 sf1 data {'in': 'county:103 state:18 tract:952400', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:01:30,906 - WARNING - received error fetching 2010 sf1 data {'in': 'county:099 state:19 tract:040300', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:06:20,526 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:091 state:20 tract:053008'}, will retry shortly
2018-11-20 05:07:07,715 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:173 state:20 tract:005501'}, will retry shortly
2018-11-20 05:07:45,655 - WARNING - received error fetching 2010 sf1 data {'in': 'county:005 state:21 tract:950202', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:07:54,553 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:009 state:21 tract:950400'}, will retry shortly
2018-11-20 05:08:51,809 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:019 state:21 tract:030800'}, will retry shortly
2018-11-20 05:09:32,970 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:816800'}, will retry shortly
2018-11-20 05:09:47,388 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:091 state:20 tract:053102'}, will retry shortly
2018-11-20 05:10:07,686 - WARNING - received error fetching 2010 sf1 data {'in': 'county:027 state:21 tract:960200', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:11:34,884 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:035 state:21 tract:010100'}, will retry shortly
2018-11-20 05:12:31,786 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:037 state:21 tract:051901'}, will retry shortly
2018-11-20 05:12:48,527 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:045 state:21 tract:950100'}, will retry shortly
2018-11-20 05:13:09,183 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:173 state:20 tract:008500'}, will retry shortly
2018-11-20 05:16:51,610 - WARNING - received error fetching 2010 sf1 data {'in': 'county:083 state:21 tract:020200', 'for': 'block group:*'}, will retry shortly
